ASPECTJ,MONITORING,SPECIFICATION,VALG,RVMONITOR,PROJECT,OTHER,
almson-refcount,572,0,0,0,0,2,4785,
AnomalyDetectTool,1652,102,2458,19,327,2614,258,
ASM-NonClassloadingExtensions,8374,459,3480,362,3284,9227,1984,
asterisk-java,15006,158,735,9,339,5279,449,
attoparser,2869,5333,11809,2377,11897,12154,3845,
bplustree,1328,527,13182,687,648,14131,136,
btree4j,2181,274,4885,428,698,9177,392,
cassette-nibbler,1291,807,8401,1831,2030,861,99,
choco-graph,3666,598,8134,172,5722,3648,2398,
cocolian-nlp,3276,899,3878,308,3781,2299,2967,
consistent-hash-algorithm,1294,236,2051,647,396,765,74,
databuilderframework,6565,1323,8384,513,12018,21265,3846,
dictomaton,2663,1502,3641,515,9733,1597,5565,
ef-redis,1873,191,1009,422,370,81,515,
finmath-lib,1061,9,8,0,2,1,119,
functional-utils,3981,7,229,1,47,234,187,
Fuzzino,5104,3032,1555,53,2041,1802,247,
geogrid,1257,1150,2414,51,282,5569,284,
gramtest,2494,503,2676,315,3853,316,1300,
ik-analyzer,1084,1280,1950,282,4137,1522,2150,
Jaba,1315,748,4581,220,4929,1368,1952,
jackcess,5202,15,13,0,5,64,21349,
jackson-antpathfilter,3697,9,11,0,2,11837,638,
jackson-core,5541,384,2494,420,567,5573,702,
JaroWinklerSimilarity,1608,734,15303,1327,3181,4168,1234,
java-concurrent-hash-trie-map,1151,188,1844,12,243,1685,116,
javadbf,1233,168,2227,1,33,188,301,
java-future-jdk8,924,9530,350362,10,15880,111658,3851,
java.math.expression.parser,723,1499,4424,3820,3594,1864,85,
java-uuid-generator,1131,172,793,223,210,561,357,
java-vector-tile,4707,612,3299,239,3807,1571,1653,
jcunit,5554,4749,16572,1542,27574,2298,11443,
jieba-analysis,1017,645,2882,246,3960,1161,1688,
jlemmagen,1119,3885,131,11,46,8357,147,
jpoker,5732,316,2743,903,515,761,610,
kiara,5081,905,11410,172,1744,3009,314,
orientdb-jdbc,29815,5489,16356,1471,40724,8746,17150,
osm-lib,5538,218,3553,175,1209,2495,903,
pgs-calc,4962,327,1188,395,855,18326,461,
PointCloudUtilities,2988,186,2444,86,556,1642,125,
progex,4982,539,1449,286,2601,656,831,
QLExpress,8416,3305,9688,959,21487,3890,8789,
route53-infima,1052,142,610,81,1414,227,612,
rtree2,10585,376,1350,208,2916,1468,976,
rtree-multi,9791,468,1681,248,4045,1773,1424,
rtree,11750,1782,4128,197,6954,2358,4453,
sensitive-word,1957,844,10511,1057,6466,2743,1975,
SparseBitSet,667,160248,15033,2,585,1386,107,
stringsearchalgorithms,4125,1070,5117,723,5248,3659,1474,
time-series-math,9159,127,4594,13,545,3560,411,
TurkishDeasciifier,1906,223355,255,27,247,306,4293,
TurkishMorphologicalDisambiguation,1726,219844,11203,2675,11272,7155,5102,
TurkishPropBank,976,167,741,422,443,261,123,
TurkishSentiNet,868,328,1305,696,323,389,124,
TurkishSpellChecker,2047,223236,4267,275,3077,3108,4618,
uuid-creator,1654,801,39,7,6,6488,236,
vowpal-wabbit-java,1730,1120,15058,2765,5264,16137,1433,
xeger,1566,294,1385,160,927,949,196,
graphstream/gs-algo,2595,114,552,61,240,439,113
apache/commons-graph,2005,150,826,30,541,834,612
graphstream/gs-core,4002,46,3112,10,126,1723,162
palindromicity/simple-syslog,3249,170,610,124,1112,295,565
andylamp/BPlusTree,1130,442,1133,59,354,145036,131
JetBrains/jetCheck,1034,298,792,113,890,445,193
stackify/stackify-api-java,88837,300,520,28,423,2530,1088
jenkinsci/cppcheck-plugin,1067,12,9,0,2,27,59
nuxeo/gatling-report,1488,40,67,0,33,92,75
jingpeicomp/id-generator,805,3892,5972,4278,4242,10520,231
jkff/ire,1447,135,584,237,221,307,59
umbrant/QuantileEstimation,1065,2888,744,2,2246,194,71
javasoze/kamikaze,1775,72422,1669,0,119,1449,528
meanbeanlib/meanbean,7009,39605,284,31,618,595,187
genepi/haplogrep3,5960,2718,3212,277,3066,1193,1319
mgormley/pacaya,6578,1049,2351,205,4781,1551,3019
hankcs/AhoCorasickDoubleArrayTrie,1101,896,6388,251,8398,2470,8109
Quickhull3d/quickhull3d,777,106,1699,38,642,673,130
jbossas/jboss-dmr,5355,2659,5295,463,10882,3995,7993
arnohaase/a-foundation,2431,652,6158,1172,1859,4189,139
zhkl0228/TraceReader,662,174,486,237,158,1237,78
OWASP/url-classifier,3850,235,949,162,895,1130,439
lrozenblyum/chess,20203,1164,7282,639,7328,2354,6260
rpgleparser/rpgleparser,5162,398,3113,145,2600,1235,2509
PeterisP/morphology,5874,3701,15833,1137,15398,4037,9167
houbb/segment,2171,92,631,67,1021,363,667
eaftan/hprof-parser,945,137,511,157,130,537,80
bonnyfone/vectalign,902,77,185,47,107,152,88
yomorun/hashids-java,751,36,242,111,71,40,61
thegedge/java-radix-tree,855,52,392,24,190,147,66
tdunning/bandit-ranking,1402,53,549,105,727,602,241
Kuangcp/NettyBook2,703,68,228,19,374,261,184
thorstenwagner/TraJ,2747,272,6407,512,786,2600,127
themadcreator/rabinfingerprint,1627,134,1547,34,620,1203,109
casbin/jcasbin,20058,2388,11839,1384,7184,16525,4232
